"","Week","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"55",1,105.315459926893,96.2177696223561,115.43209507725,105.291614033078,88.3106487184393,102.785117582733,98.8376870398902,100.972687617609,78.167765428388,109.462739078181,93.3343262406181,104.053228165107,104.237265664076,117.654698242414,116.985123700958,112.992453210762,108.123035041297,98.2567442871134,105.100244271714,98.4703579405098,95.9163838877567,0,147.570321006453
"56",2,107.794270061905,99.4022950522987,119.362219130072,105.508534956207,88.2084510349873,103.095686850563,99.7914759640842,108.420924181467,78.7164908757902,110.146248556575,94.4779794478386,104.315492532515,104.495579996828,117.644507625061,115.246038444812,112.718475322094,109.866290677484,99.3851671933414,104.734779642983,94.4450245507324,96.3827344285882,0,138.673882383328
"57",3,110.273080196917,102.586820482241,123.292343182893,105.725455879336,88.1062533515352,103.406256118394,100.745264888278,115.869160745324,79.2652163231925,110.829758034969,95.6216326550592,104.577756899923,104.753894329579,117.634317007708,113.506953188667,112.444497433425,111.609546313671,100.513590099569,104.369315014251,90.419691160955,96.8490849694196,0,129.777443760203
"58",4,112.751890331928,105.771345912184,127.222467235715,105.942376802465,88.0040556680832,103.716825386224,101.699053812472,123.317397309182,79.8139417705947,111.513267513363,96.7652858622797,104.840021267331,105.01220866233,117.624126390355,111.767867932521,112.170519544757,113.352801949858,101.642013005797,104.00385038552,86.3943577711776,97.315435510251,0,120.881005137078
"59",5,112.363635949195,108.785661548169,129.791419943813,106.060687929379,88.1711178538272,104.049069355076,101.117494907915,124.162643309669,79.5331342024614,111.482661175114,98.7881016490507,105.317960042627,105.051333950524,117.117291783453,112.53596326052,112.174117831017,113.154819435266,101.245794275453,103.671561133888,87.5221810520841,97.6006804435824,0,111.080270306502
"60",6,111.975381566462,111.799977184154,132.360372651911,106.178999056294,88.3381800395713,104.381313323927,100.535936003359,125.007889310156,79.2523266343281,111.452054836865,100.810917435822,105.795898817922,105.090459238718,116.610457176551,113.304058588519,112.177716117277,112.956836920674,100.849575545109,103.339271882256,88.6500043329907,97.8859253769139,0,101.279535475926
"61",7,111.587127183729,114.814292820139,134.929325360008,106.297310183208,88.5052422253154,104.713557292779,99.9543770988019,125.853135310642,78.9715190661949,111.421448498616,102.833733222593,106.273837593217,105.129584526912,116.103622569648,114.072153916519,112.181314403537,112.758854406082,100.453356814765,103.006982630624,89.7778276138972,98.1711703102453,0,91.4788006453497
"62",8,111.198872800996,117.828608456124,137.498278068106,106.415621310123,88.6723044110594,105.04580126163,99.3728181942452,126.698381311129,78.6907114980616,111.390842160366,104.856549009364,106.751776368512,105.168709815106,115.596787962746,114.840249244518,112.184912689797,112.56087189149,100.05713808442,102.674693378992,90.9056508948038,98.4564152435768,0,81.6780658147737
"63",9,112.80468256921,122.267802716625,138.728091723085,106.832103472703,88.7361671753586,104.822258290477,100.347875608127,127.373768007564,86.5852226742695,112.334024482027,102.989513795289,107.071947479206,106.00223245337,115.669089455633,114.314674262996,114.213615600624,113.407733955626,100.105143201523,102.839282345912,93.1854995835505,98.540042998892,0,88.9491486455194
"64",10,114.410492337424,126.706996977126,139.957905378064,107.248585635284,88.8000299396577,104.598715319323,101.322933022009,128.049154704,94.4797338504775,113.277206803688,101.122478581213,107.3921185899,106.835755091634,115.741390948519,113.789099281475,116.242318511452,114.254596019761,100.153148318626,103.003871312832,95.4653482722971,98.6236707542071,0,96.2202314762652
